Книга,Глава,Синодальный,НРП,Юбилейный
Бытие,18,32,33,33
Бытие,24,64,67,67
Исход,6,29,30,30
Исход,28,42,43,43
Исход,33,22,23,23
Левит,14,57,56,56
Числа,12,16,15,15
Числа,13,33,34,34
Числа,24,24,25,25
Числа,29,40,39,39
Числа,30,16,17,17
Второзаконие,1,45,46,46
Второзаконие,5,32,33,33
Второзаконие,6,23,25,25
Второзаконие,7,25,26,26
Второзаконие,8,19,20,20
Второзаконие,9,27,29,29
Второзаконие,12,30,32,32
Второзаконие,13,15,18,18
Второзаконие,15,21,23,23
Второзаконие,17,18,20,20
Второзаконие,18,21,22,22
Второзаконие,21,22,23,23
Второзаконие,22,28,30,30
Второзаконие,25,16,19,19
Второзаконие,28,66,68,68
Второзаконие,29,28,29,29
Второзаконие,30,18,20,20
Второзаконие,31,28,30,30
Второзаконие,33,28,29,29
Второзаконие,34,11,12,12
Иисус Навин,4,20,24,24
Иисус Навин,5,14,16,16
Иисус Навин,7,25,26,26
Иисус Навин,8,34,35,35
Иисус Навин,9,25,27,27
Иисус Навин,10,40,43,43
Иисус Навин,14,14,15,15
Иисус Навин,22,32,34,34
Иисус Навин,24,32,33,33
Судьи,2,22,23,23
Судьи,4,23,24,24
Судьи,6,38,40,40
Судьи,7,22,25,25
Судьи,9,56,57,57
Судьи,11,39,40,40
Судьи,12,13,15,15
Судьи,13,24,25,25
Судьи,15,18,20,20
Судьи,16,30,31,31
Судьи,20,47,48,48
Руфь,1,21,22,22
Руфь,2,22,23,23
Руфь,4,21,22,22
1 Царств,2,34,36,36
1 Царств,4,21,22,22
1 Царств,9,25,27,27
1 Царств,10,24,27,27
1 Царств,11,14,15,15
1 Царств,12,23,25,25
1 Царств,13,22,23,23
1 Царств,14,48,52,52
1 Царств,15,34,35,35
1 Царств,16,22,23,23
1 Царств,19,23,24,24
1 Царств,20,35,43,43
1 Царств,21,13,15,15
1 Царств,23,29,28,28
1 Царств,24,18,23,23
1 Царств,25,43,44,44
1 Царств,26,24,25,25
1 Царств,27,11,12,12
1 Царств,29,9,11,11
1 Царств,30,30,31,31
2 Царств,3,38,39,39
2 Царств,4,11,12,12
2 Царств,5,23,25,25
2 Царств,6,21,23,23
2 Царств,7,26,29,29
2 Царств,11,25,27,27
2 Царств,12,30,31,31
2 Царств,13,38,39,39
2 Царств,14,32,33,33
2 Царств,15,35,37,37
2 Царств,17,28,29,29
2 Царств,18,31,33,33
2 Царств,19,42,43,43
2 Царств,20,25,26,26
3 Царств,1,49,53,53
3 Царств,2,43,46,46
3 Царств,5,17,18,18
3 Царств,8,61,66,66
3 Царств,9,25,28,28
3 Царств,11,42,43,43
3 Царств,12,30,33,33
3 Царств,13,30,34,34
3 Царств,18,42,46,46
3 Царств,20,39,43,43
3 Царств,21,26,29,29
3 Царств,22,52,53,53
4 Царств,4,40,44,44
4 Царств,5,25,27,27
4 Царств,6,31,33,33
4 Царств,7,17,20,20
4 Царств,8,27,29,29
4 Царств,9,34,37,37
4 Царств,11,20,21,21
4 Царств,14,27,29,29
4 Царств,17,40,41,41
4 Царств,18,32,37,37
4 Царств,19,34,37,37
4 Царств,20,20,21,21
4 Царств,21,24,26,26
4 Царств,23,35,37,37
1 Паралипоменон,11,46,47,47
1 Паралипоменон,13,13,14,14
1 Паралипоменон,16,41,43,43
1 Паралипоменон,22,18,19,19
2 Паралипоменон,6,40,42,42
Ездра,3,12,13,13
Ездра,6,21,22,22
Иов,7,20,21,21
Иов,8,21,22,22
Иов,39,30,35,35
Иов,40,24,27,27
Иов,41,34,26,26
Псалтирь,2,10,12,12
Псалтирь,3,7,9,9
Псалтирь,4,7,9,9
Псалтирь,5,12,13,13
Псалтирь,6,10,11,11
Псалтирь,7,17,18,18
Псалтирь,8,9,10,10
Псалтирь,9,20,39,39
Псалтирь,10,14,7,7
Псалтирь,11,6,9,9
Псалтирь,12,7,6,6
Псалтирь,13,5,7,7
Псалтирь,15,5,11,11
Псалтирь,16,11,15,15
Псалтирь,17,15,51,51
Псалтирь,18,50,15,15
Псалтирь,19,14,10,10
Псалтирь,20,9,14,14
Псалтирь,21,13,32,32
Псалтирь,22,30,6,6
Псалтирь,23,6,10,10
Псалтирь,24,10,22,22
Псалтирь,25,22,12,12
Псалтирь,26,12,14,14
Псалтирь,27,13,9,9
Псалтирь,28,9,11,11
Псалтирь,29,11,13,13
Псалтирь,30,10,25,25
